result_id,compound_id,experiment_type,result_value,unit,result_date,technician,pass_fail
LAB-01502,CMP-0036,Solubility Assay,0.72,mg/mL,2025-04-28,Bryan Miller,Pass
LAB-01503,CMP-0089,hERG Cardiotoxicity Screen,77.8,% inhibition at 10uM,2024-09-01,Katrina Johnson,Fail
LAB-01504,CMP-0033,hERG Cardiotoxicity Screen,35.1,% inhibition at 10uM,2025-01-01,Denise Mcgee,Fail
LAB-01505,CMP-0145,Solubility Assay,1.64,mg/mL,2025-11-20,John Newman,Pass
LAB-01506,CMP-0078,Binding Affinity (SPR),0.84,nM (Kd),2024-06-12,Ariana Brown,Pass
LAB-01507,CMP-0129,Selectivity Panel,70.0,% selectivity,2026-05-06,Cathy Hess,Pass
LAB-01508,CMP-0023,Selectivity Panel,52.5,% selectivity,2022-10-16,Kimberly Burnett,Pass
LAB-01509,CMP-0109,Pharmacokinetic (PK) Study,16.69,hours (t1/2),2024-08-31,Lauren Reeves,Fail
LAB-01510,CMP-0132,Selectivity Panel,70.7,% selectivity,2025-11-14,Paul Sheppard,Pass
LAB-01511,CMP-0029,hERG Cardiotoxicity Screen,55.2,% inhibition at 10uM,2026-04-20,Kyle White,Pass
LAB-01512,CMP-0028,Pharmacokinetic (PK) Study,5.21,hours (t1/2),2024-12-05,Barbara Anderson,Pass
LAB-01513,CMP-0109,Cell Viability Assay,16.2,% viability,2023-07-16,Justin York,Pass
LAB-01514,CMP-0081,Pharmacokinetic (PK) Study,16.02,hours (t1/2),2022-11-08,Katie Cox,Fail
LAB-01515,CMP-0041,Enzymatic Inhibition Assay,4.02,nM (IC50),2024-11-20,Tony Smith,Pass
LAB-01516,CMP-0054,Cell Viability Assay,70.3,% viability,2023-11-30,Kelly Patton,Fail
LAB-01517,CMP-0064,Enzymatic Inhibition Assay,1.52,nM (IC50),2025-05-07,Kenneth Neal,Pass
LAB-01518,CMP-0067,Cell Viability Assay,19.3,% viability,2024-10-20,Mrs. Kimberly Clark,Pass
LAB-01519,CMP-0041,Enzymatic Inhibition Assay,2.33,nM (IC50),2023-02-09,Cynthia Lopez,Fail
LAB-01520,CMP-0128,hERG Cardiotoxicity Screen,38.9,% inhibition at 10uM,2023-11-29,Tina Guzman,Fail
LAB-01521,CMP-0089,hERG Cardiotoxicity Screen,88.0,% inhibition at 10uM,2023-07-30,Carl Dean,Pass
LAB-01522,CMP-0092,Binding Affinity (SPR),3.9,nM (Kd),2023-01-04,James Mckee,Pass
LAB-01523,CMP-0033,Binding Affinity (SPR),0.61,nM (Kd),2024-04-24,David Coleman,Pass
LAB-01524,CMP-0080,Solubility Assay,4.17,mg/mL,2025-06-27,Andrea Oconnor,Pass
LAB-01525,CMP-0038,Cell Viability Assay,43.5,% viability,2026-09-10,Cheryl Watson,Pass
LAB-01526,CMP-0060,Pharmacokinetic (PK) Study,14.27,hours (t1/2),2025-05-04,Lisa Barnes,Pass
LAB-01527,CMP-0007,Enzymatic Inhibition Assay,12.47,nM (IC50),2023-04-30,Jessica Johnson DDS,Pass
LAB-01528,CMP-0112,Cell Viability Assay,65.8,% viability,2023-01-09,Brian Kelley,Fail
LAB-01529,CMP-0101,Solubility Assay,1.99,mg/mL,2022-12-23,Heidi Cook,Pass
LAB-01530,CMP-0004,hERG Cardiotoxicity Screen,17.9,% inhibition at 10uM,2023-10-21,Courtney Smith,Fail
LAB-01531,CMP-0055,hERG Cardiotoxicity Screen,54.7,% inhibition at 10uM,2024-03-21,Jamie Garcia,Pass
LAB-01532,CMP-0058,Pharmacokinetic (PK) Study,21.98,hours (t1/2),2026-05-31,Nicholas Parker,Fail
LAB-01533,CMP-0004,Solubility Assay,2.35,mg/mL,2025-12-30,Joseph Graves PhD,Pass
LAB-01534,CMP-0087,Enzymatic Inhibition Assay,6.71,nM (IC50),2024-12-01,Stephanie Jackson,Fail
LAB-01535,CMP-0139,Selectivity Panel,88.4,% selectivity,2026-06-30,Gregory Figueroa,Pass
LAB-01536,CMP-0054,Enzymatic Inhibition Assay,9.55,nM (IC50),2026-08-01,Linda Atkinson,Fail
LAB-01537,CMP-0037,Enzymatic Inhibition Assay,1.88,nM (IC50),2024-08-14,Adam Palmer,Fail
LAB-01538,CMP-0103,Metabolic Stability (Microsomal),77.9,min (t1/2),2023-05-03,James Moss,Fail
LAB-01539,CMP-0081,Selectivity Panel,41.8,% selectivity,2022-12-04,Vanessa Zimmerman,Pass
LAB-01540,CMP-0031,hERG Cardiotoxicity Screen,18.8,% inhibition at 10uM,2023-09-16,Michelle White,Pass
LAB-01541,CMP-0007,Binding Affinity (SPR),13.03,nM (Kd),2026-08-27,Kathryn Hill,Pass
LAB-01542,CMP-0024,Cell Viability Assay,63.4,% viability,2024-06-03,Sierra Cervantes,Pass
LAB-01543,CMP-0061,Selectivity Panel,92.8,% selectivity,2023-12-07,Theresa Russell,Pass
LAB-01544,CMP-0067,Cell Viability Assay,8.6,% viability,2023-12-18,Bobby Blair,Pass
LAB-01545,CMP-0142,Selectivity Panel,85.0,% selectivity,2026-06-28,Anthony Paul,Fail
LAB-01546,CMP-0115,hERG Cardiotoxicity Screen,33.4,% inhibition at 10uM,2024-12-05,Shannon Hayden MD,Pass
LAB-01547,CMP-0033,Selectivity Panel,43.7,% selectivity,2024-09-29,Karen Robertson,Pass
LAB-01548,CMP-0067,Binding Affinity (SPR),0.57,nM (Kd),2026-09-14,Melissa Sullivan,Fail
LAB-01549,CMP-0117,hERG Cardiotoxicity Screen,80.1,% inhibition at 10uM,2025-03-05,Nichole Klein,Pass
LAB-01550,CMP-0115,Metabolic Stability (Microsomal),165.4,min (t1/2),2025-07-09,Dana Stevenson,Fail
LAB-01551,CMP-0127,Solubility Assay,1.88,mg/mL,2026-07-07,Shirley Rice,Pass
LAB-01552,CMP-0103,Solubility Assay,1.82,mg/mL,2025-02-23,Traci Craig,Pass
LAB-01553,CMP-0052,Enzymatic Inhibition Assay,2.68,nM (IC50),2026-03-28,Courtney Jones,Fail
LAB-01554,CMP-0043,Cell Viability Assay,31.9,% viability,2026-01-25,Tiffany Henderson,Pass
LAB-01555,CMP-0098,Selectivity Panel,44.1,% selectivity,2024-03-24,Brian Sloan,Pass
LAB-01556,CMP-0008,hERG Cardiotoxicity Screen,36.1,% inhibition at 10uM,2023-09-17,Pamela Wilson,Pass
LAB-01557,CMP-0062,Pharmacokinetic (PK) Study,22.21,hours (t1/2),2023-11-28,Daniel Rojas,Pass
LAB-01558,CMP-0084,Metabolic Stability (Microsomal),126.7,min (t1/2),2024-12-26,Eric Fitzpatrick,Pass
LAB-01559,CMP-0144,Cell Viability Assay,48.1,% viability,2025-04-13,Amanda Ford,Pass
LAB-01560,CMP-0016,Cell Viability Assay,50.3,% viability,2025-03-07,Henry Gilbert MD,Pass
LAB-01561,CMP-0134,Selectivity Panel,83.1,% selectivity,2024-02-16,Steve Lopez,Pass
LAB-01562,CMP-0063,Metabolic Stability (Microsomal),119.0,min (t1/2),2024-02-17,Johnathan Miller,Pass
LAB-01563,CMP-0090,Binding Affinity (SPR),3.56,nM (Kd),2024-10-07,Caleb Freeman,Pass
LAB-01564,CMP-0078,Selectivity Panel,47.0,% selectivity,2023-05-03,Courtney Foster,Pass
LAB-01565,CMP-0054,Solubility Assay,1.24,mg/mL,2023-11-28,Clarence Cain,Fail
LAB-01566,CMP-0094,Metabolic Stability (Microsomal),124.8,min (t1/2),2023-02-23,Ryan Martin,Pass
LAB-01567,CMP-0091,Metabolic Stability (Microsomal),43.2,min (t1/2),2024-02-16,Ian Harrell,Pass
LAB-01568,CMP-0070,Solubility Assay,0.79,mg/mL,2023-07-04,Andrew Foster,Pass
LAB-01569,CMP-0033,Binding Affinity (SPR),0.96,nM (Kd),2025-09-08,Caitlin Gonzalez,Fail
LAB-01570,CMP-0128,Cell Viability Assay,49.2,% viability,2024-08-17,Deborah Fisher,Pass
LAB-01571,CMP-0075,Selectivity Panel,34.1,% selectivity,2024-11-29,Michelle Nguyen,Fail
LAB-01572,CMP-0047,Selectivity Panel,25.9,% selectivity,2025-10-08,Kathryn Mclean,Pass
LAB-01573,CMP-0142,Cell Viability Assay,74.9,% viability,2026-01-30,Brian Rodriguez,Pass
LAB-01574,CMP-0054,Pharmacokinetic (PK) Study,19.39,hours (t1/2),2022-10-18,Jonathan Saunders,Pass
LAB-01575,CMP-0054,Metabolic Stability (Microsomal),9.8,min (t1/2),2023-08-29,Gloria Bray,Fail
LAB-01576,CMP-0146,Cell Viability Assay,11.7,% viability,2025-08-29,Dylan Tucker,Pass
LAB-01577,CMP-0058,Metabolic Stability (Microsomal),155.6,min (t1/2),2025-10-02,Christian Dixon,Pass
LAB-01578,CMP-0041,Enzymatic Inhibition Assay,13.59,nM (IC50),2023-09-17,Sharon Gamble,Fail
LAB-01579,CMP-0142,Pharmacokinetic (PK) Study,8.35,hours (t1/2),2023-09-14,Christina Mccarthy,Pass
LAB-01580,CMP-0051,Enzymatic Inhibition Assay,4.23,nM (IC50),2025-12-13,Kathryn White,Pass
LAB-01581,CMP-0070,Pharmacokinetic (PK) Study,14.35,hours (t1/2),2026-09-06,Madison Perez,Pass
LAB-01582,CMP-0080,hERG Cardiotoxicity Screen,80.7,% inhibition at 10uM,2023-03-30,William Hickman,Pass
LAB-01583,CMP-0129,Selectivity Panel,43.8,% selectivity,2024-06-01,Ann Williams,Fail
LAB-01584,CMP-0062,Solubility Assay,0.68,mg/mL,2024-05-04,Mark Hall,Pass
LAB-01585,CMP-0048,hERG Cardiotoxicity Screen,94.8,% inhibition at 10uM,2024-01-21,Jordan Schneider,Pass
LAB-01586,CMP-0055,Metabolic Stability (Microsomal),122.3,min (t1/2),2023-12-06,Douglas Bell,Pass
LAB-01587,CMP-0114,Solubility Assay,1.27,mg/mL,2024-05-20,Anthony Williams,Pass
LAB-01588,CMP-0021,Enzymatic Inhibition Assay,6.92,nM (IC50),2022-12-03,Christy Kennedy,Pass
LAB-01589,CMP-0137,Metabolic Stability (Microsomal),50.6,min (t1/2),2026-05-06,Cody Vaughan,Pass
LAB-01590,CMP-0121,hERG Cardiotoxicity Screen,95.2,% inhibition at 10uM,2024-03-01,Brent Smith,Fail
LAB-01591,CMP-0064,Enzymatic Inhibition Assay,24.8,nM (IC50),2024-12-01,Erin Figueroa,Fail
LAB-01592,CMP-0115,Solubility Assay,1.26,mg/mL,2024-02-27,Kendra Watson,Fail
LAB-01593,CMP-0032,hERG Cardiotoxicity Screen,21.9,% inhibition at 10uM,2025-04-24,James Eaton,Pass
LAB-01594,CMP-0045,Binding Affinity (SPR),0.45,nM (Kd),2023-03-27,Barbara Willis,Pass
LAB-01595,CMP-0021,Metabolic Stability (Microsomal),93.7,min (t1/2),2026-05-11,Cheryl Bush,Pass
LAB-01596,CMP-0041,Metabolic Stability (Microsomal),99.0,min (t1/2),2026-05-31,Joshua Cooper,Pass
LAB-01597,CMP-0117,Metabolic Stability (Microsomal),117.2,min (t1/2),2025-08-12,Christina Le MD,Pass
LAB-01598,CMP-0079,Pharmacokinetic (PK) Study,4.33,hours (t1/2),2023-06-24,Dawn Wiley,Pass
LAB-01599,CMP-0009,Binding Affinity (SPR),2.47,nM (Kd),2026-02-15,Vanessa Jacobson,Pass
LAB-01600,CMP-0012,Solubility Assay,9.34,mg/mL,2024-07-03,Susan Jones,Pass
LAB-01601,CMP-0108,Pharmacokinetic (PK) Study,9.59,hours (t1/2),2024-05-21,Kathy Johnson,Pass
LAB-01602,CMP-0148,Pharmacokinetic (PK) Study,3.04,hours (t1/2),2025-02-08,Betty Williams,Fail
LAB-01603,CMP-0061,Cell Viability Assay,17.6,% viability,2024-12-22,Melissa Yang,Pass
LAB-01604,CMP-0097,Pharmacokinetic (PK) Study,21.13,hours (t1/2),2024-04-20,Sheila Mata,Pass
LAB-01605,CMP-0054,Selectivity Panel,24.4,% selectivity,2023-05-17,Janet Chan,Pass
LAB-01606,CMP-0123,Pharmacokinetic (PK) Study,13.89,hours (t1/2),2024-04-25,Clinton Moore,Fail
LAB-01607,CMP-0092,Metabolic Stability (Microsomal),119.7,min (t1/2),2023-08-01,Sherry Gibbs,Pass
LAB-01608,CMP-0043,Metabolic Stability (Microsomal),58.6,min (t1/2),2024-07-13,Kelly Turner,Pass
LAB-01609,CMP-0113,Selectivity Panel,79.7,% selectivity,2023-08-05,Kristen Jackson,Pass
LAB-01610,CMP-0110,Selectivity Panel,81.7,% selectivity,2022-11-23,Andrew Hernandez,Pass
LAB-01611,CMP-0025,Binding Affinity (SPR),4.28,nM (Kd),2026-03-31,Debra Gibbs,Fail
LAB-01612,CMP-0074,Enzymatic Inhibition Assay,0.88,nM (IC50),2025-04-12,Rodney Nichols,Pass
LAB-01613,CMP-0015,Binding Affinity (SPR),3.8,nM (Kd),2022-09-20,Larry Wood,Pass
LAB-01614,CMP-0109,hERG Cardiotoxicity Screen,80.7,% inhibition at 10uM,2023-01-17,Kirsten Bowen,Pass
LAB-01615,CMP-0131,Solubility Assay,3.81,mg/mL,2024-05-06,Erika Brown,Fail
LAB-01616,CMP-0022,Enzymatic Inhibition Assay,3.14,nM (IC50),2025-12-22,Colleen Sanford,Pass
LAB-01617,CMP-0101,Solubility Assay,7.52,mg/mL,2023-06-03,Kimberly Irwin,Fail
LAB-01618,CMP-0043,Selectivity Panel,49.9,% selectivity,2025-10-28,Ashley Reese,Pass
LAB-01619,CMP-0069,Cell Viability Assay,84.8,% viability,2024-03-28,Sheila Walters,Fail
LAB-01620,CMP-0129,hERG Cardiotoxicity Screen,25.2,% inhibition at 10uM,2024-11-30,Connie Adams,Pass
LAB-01621,CMP-0055,Cell Viability Assay,80.4,% viability,2025-01-14,Nicole Moore,Pass
LAB-01622,CMP-0063,Cell Viability Assay,34.7,% viability,2023-08-22,Jackie Barrera,Pass
LAB-01623,CMP-0007,Cell Viability Assay,60.6,% viability,2023-02-01,Cody Huffman,Pass
LAB-01624,CMP-0127,hERG Cardiotoxicity Screen,22.2,% inhibition at 10uM,2023-06-20,Nicholas Holland Jr.,Pass
LAB-01625,CMP-0058,Solubility Assay,2.03,mg/mL,2023-05-13,James Franklin,Pass
LAB-01626,CMP-0056,Enzymatic Inhibition Assay,6.02,nM (IC50),2022-12-28,David Stout,Pass
LAB-01627,CMP-0127,Selectivity Panel,81.6,% selectivity,2026-08-04,Joseph Acosta,Pass
LAB-01628,CMP-0108,Solubility Assay,2.1,mg/mL,2025-12-10,Jamie Smith,Pass
LAB-01629,CMP-0150,hERG Cardiotoxicity Screen,14.3,% inhibition at 10uM,2026-01-06,Maria Williams,Pass
LAB-01630,CMP-0059,Enzymatic Inhibition Assay,16.73,nM (IC50),2023-09-15,Charles Burton,Pass
LAB-01631,CMP-0116,hERG Cardiotoxicity Screen,76.8,% inhibition at 10uM,2022-10-07,Tina Rodriguez,Pass
LAB-01632,CMP-0040,hERG Cardiotoxicity Screen,28.4,% inhibition at 10uM,2025-08-27,Michael Harris,Fail
LAB-01633,CMP-0008,Selectivity Panel,62.8,% selectivity,2024-08-19,Jill Martin,Pass
LAB-01634,CMP-0103,Enzymatic Inhibition Assay,2.31,nM (IC50),2024-01-15,Anthony Holt,Pass
LAB-01635,CMP-0014,hERG Cardiotoxicity Screen,70.6,% inhibition at 10uM,2025-03-22,Roger Garcia,Pass
LAB-01636,CMP-0146,Enzymatic Inhibition Assay,9.77,nM (IC50),2023-11-25,Sara Thomas,Pass
LAB-01637,CMP-0058,Cell Viability Assay,63.0,% viability,2026-05-11,Jeffery Hernandez,Fail
LAB-01638,CMP-0031,Cell Viability Assay,64.1,% viability,2025-05-01,Shawn Cruz,Pass
LAB-01639,CMP-0030,hERG Cardiotoxicity Screen,8.4,% inhibition at 10uM,2026-03-31,Ashley Jackson,Pass
LAB-01640,CMP-0077,hERG Cardiotoxicity Screen,16.8,% inhibition at 10uM,2023-02-25,Tyler Howard,Pass
LAB-01641,CMP-0026,hERG Cardiotoxicity Screen,69.1,% inhibition at 10uM,2025-03-04,Thomas Gillespie,Fail
LAB-01642,CMP-0053,Cell Viability Assay,51.0,% viability,2026-04-17,Cassandra Moreno,Pass
LAB-01643,CMP-0050,Pharmacokinetic (PK) Study,17.5,hours (t1/2),2025-02-09,Brittany Contreras,Pass
LAB-01644,CMP-0129,Solubility Assay,1.73,mg/mL,2023-12-02,Hannah Garcia,Pass
LAB-01645,CMP-0123,hERG Cardiotoxicity Screen,34.7,% inhibition at 10uM,2026-05-17,Tasha Cochran,Pass
LAB-01646,CMP-0149,Binding Affinity (SPR),3.9,nM (Kd),2025-07-22,Aaron Fitzpatrick,Pass
LAB-01647,CMP-0058,Enzymatic Inhibition Assay,3.59,nM (IC50),2023-04-23,Erica Myers,Pass
LAB-01648,CMP-0081,Cell Viability Assay,65.6,% viability,2025-08-06,Karen Jones,Pass
LAB-01649,CMP-0017,Pharmacokinetic (PK) Study,22.59,hours (t1/2),2025-01-08,Diana Davis,Pass
LAB-01650,CMP-0132,Metabolic Stability (Microsomal),115.2,min (t1/2),2026-09-09,James Flores,Pass
LAB-01651,CMP-0047,Binding Affinity (SPR),1.8,nM (Kd),2024-05-28,Jennifer Leon,Pass
LAB-01652,CMP-0106,Pharmacokinetic (PK) Study,15.51,hours (t1/2),2024-01-17,Martha Sanchez,Fail
LAB-01653,CMP-0131,Solubility Assay,1.68,mg/mL,2024-05-21,Joseph Patel PhD,Fail
LAB-01654,CMP-0072,hERG Cardiotoxicity Screen,92.0,% inhibition at 10uM,2024-04-01,Jennifer Lane,Pass
LAB-01655,CMP-0052,Cell Viability Assay,11.6,% viability,2025-06-26,Michele Young,Fail
LAB-01656,CMP-0011,Selectivity Panel,87.6,% selectivity,2022-09-22,Alicia Grant DVM,Pass
LAB-01657,CMP-0081,hERG Cardiotoxicity Screen,54.0,% inhibition at 10uM,2026-05-24,Gregory Allison,Pass
LAB-01658,CMP-0105,Binding Affinity (SPR),0.31,nM (Kd),2026-03-06,Elizabeth Thomas,Pass
LAB-01659,CMP-0117,Metabolic Stability (Microsomal),128.1,min (t1/2),2026-02-14,Susan Sanchez,Pass
LAB-01660,CMP-0057,Pharmacokinetic (PK) Study,15.23,hours (t1/2),2026-01-08,Chad Hayden,Pass
LAB-01661,CMP-0055,Metabolic Stability (Microsomal),67.6,min (t1/2),2025-07-11,Alexander Hanna,Fail
LAB-01662,CMP-0123,Selectivity Panel,76.6,% selectivity,2024-03-13,Mary Jones,Pass
LAB-01663,CMP-0127,Solubility Assay,1.76,mg/mL,2026-01-22,Amanda Diaz,Pass
LAB-01664,CMP-0034,Enzymatic Inhibition Assay,4.87,nM (IC50),2023-01-11,Keith Cervantes,Fail
LAB-01665,CMP-0012,Solubility Assay,3.89,mg/mL,2023-04-24,Patrick Adkins,Pass
LAB-01666,CMP-0081,Metabolic Stability (Microsomal),61.6,min (t1/2),2025-07-03,Jason Rogers,Pass
LAB-01667,CMP-0063,hERG Cardiotoxicity Screen,91.0,% inhibition at 10uM,2025-11-01,Donna Moore,Pass
LAB-01668,CMP-0026,hERG Cardiotoxicity Screen,68.8,% inhibition at 10uM,2026-03-27,Paul Gordon,Pass
LAB-01669,CMP-0062,hERG Cardiotoxicity Screen,87.4,% inhibition at 10uM,2022-10-03,Melanie Liu,Pass
LAB-01670,CMP-0099,Metabolic Stability (Microsomal),113.8,min (t1/2),2024-12-05,Tamara Shaw,Pass
LAB-01671,CMP-0141,Binding Affinity (SPR),3.23,nM (Kd),2025-07-19,Christopher Dudley,Pass
LAB-01672,CMP-0075,Binding Affinity (SPR),1.04,nM (Kd),2024-10-18,Beth Lewis,Pass
LAB-01673,CMP-0139,Pharmacokinetic (PK) Study,12.21,hours (t1/2),2025-03-09,Clinton Reese,Pass
LAB-01674,CMP-0135,Enzymatic Inhibition Assay,18.75,nM (IC50),2024-12-12,Rose Mcdonald,Pass
LAB-01675,CMP-0118,Cell Viability Assay,33.6,% viability,2023-12-19,Samantha Martin,Fail
LAB-01676,CMP-0024,Cell Viability Assay,40.6,% viability,2025-12-03,Chloe Rodriguez,Pass
LAB-01677,CMP-0087,Selectivity Panel,44.7,% selectivity,2023-01-09,Sarah Johnson,Pass
LAB-01678,CMP-0129,hERG Cardiotoxicity Screen,90.2,% inhibition at 10uM,2023-11-04,Ana Harper,Pass
LAB-01679,CMP-0004,Enzymatic Inhibition Assay,12.77,nM (IC50),2025-09-26,Juan Little,Fail
LAB-01680,CMP-0033,Cell Viability Assay,81.5,% viability,2022-11-04,William Cunningham,Fail
LAB-01681,CMP-0130,Binding Affinity (SPR),0.79,nM (Kd),2024-12-19,Amber Edwards,Pass
LAB-01682,CMP-0015,Cell Viability Assay,79.5,% viability,2026-06-26,Howard Campbell,Pass
LAB-01683,CMP-0137,Cell Viability Assay,27.4,% viability,2024-04-21,Paul Swanson,Fail
LAB-01684,CMP-0044,Pharmacokinetic (PK) Study,13.28,hours (t1/2),2026-08-09,Anne Russell,Pass
LAB-01685,CMP-0077,Pharmacokinetic (PK) Study,12.58,hours (t1/2),2025-09-04,Robert Hernandez,Pass
LAB-01686,CMP-0150,Pharmacokinetic (PK) Study,14.95,hours (t1/2),2025-01-22,Kevin Christian,Pass
LAB-01687,CMP-0035,Selectivity Panel,30.4,% selectivity,2023-11-15,Joel Mcclure,Pass
LAB-01688,CMP-0150,Cell Viability Assay,35.5,% viability,2023-02-01,Stacey Aguirre,Pass
LAB-01689,CMP-0074,hERG Cardiotoxicity Screen,15.2,% inhibition at 10uM,2025-04-30,Candace Stuart,Pass
LAB-01690,CMP-0128,Solubility Assay,5.59,mg/mL,2024-10-10,Marisa Conrad,Pass
LAB-01691,CMP-0120,Cell Viability Assay,42.3,% viability,2024-01-29,Gina Ward,Pass
LAB-01692,CMP-0024,Enzymatic Inhibition Assay,21.78,nM (IC50),2026-02-18,Steven Schroeder,Pass
LAB-01693,CMP-0031,Solubility Assay,0.82,mg/mL,2024-04-05,Leroy Jones,Pass
LAB-01694,CMP-0095,hERG Cardiotoxicity Screen,27.5,% inhibition at 10uM,2023-04-28,Kathleen Ballard,Pass
LAB-01695,CMP-0003,hERG Cardiotoxicity Screen,16.7,% inhibition at 10uM,2023-04-14,Kimberly Novak,Fail
LAB-01696,CMP-0119,Cell Viability Assay,20.2,% viability,2025-11-01,Brandon Edwards,Pass
LAB-01697,CMP-0045,Binding Affinity (SPR),3.75,nM (Kd),2026-06-12,Douglas Cox,Pass
LAB-01698,CMP-0017,Pharmacokinetic (PK) Study,10.15,hours (t1/2),2023-01-26,Raymond Scott,Pass
LAB-01699,CMP-0049,Cell Viability Assay,36.1,% viability,2024-08-08,Shawn Santos,Fail
LAB-01700,CMP-0029,Metabolic Stability (Microsomal),172.7,min (t1/2),2023-04-11,Keith Williams,Fail
LAB-01701,CMP-0102,Cell Viability Assay,9.1,% viability,2026-02-23,Scott Stark,Pass
LAB-01702,CMP-0088,hERG Cardiotoxicity Screen,44.5,% inhibition at 10uM,2023-03-25,Ryan Crane,Fail
LAB-01703,CMP-0110,Cell Viability Assay,82.4,% viability,2024-03-16,Katie Baker,Fail
LAB-01704,CMP-0139,hERG Cardiotoxicity Screen,72.1,% inhibition at 10uM,2026-03-19,Lisa Schneider,Pass
LAB-01705,CMP-0122,Enzymatic Inhibition Assay,1.65,nM (IC50),2025-09-03,Roberto Smith,Pass
LAB-01706,CMP-0105,Pharmacokinetic (PK) Study,9.48,hours (t1/2),2026-02-14,Christopher Ross,Pass
LAB-01707,CMP-0141,Enzymatic Inhibition Assay,8.75,nM (IC50),2023-01-02,Joel Davis,Pass
LAB-01708,CMP-0020,Metabolic Stability (Microsomal),126.9,min (t1/2),2024-07-29,Stephanie Marshall,Pass
LAB-01709,CMP-0025,Solubility Assay,4.66,mg/mL,2023-01-21,Sylvia Nielsen,Pass
LAB-01710,CMP-0105,Enzymatic Inhibition Assay,19.72,nM (IC50),2025-10-13,Gary Stewart,Pass
LAB-01711,CMP-0108,Selectivity Panel,19.6,% selectivity,2026-09-11,Dr. John Ramirez,Pass
LAB-01712,CMP-0111,Metabolic Stability (Microsomal),176.7,min (t1/2),2022-11-12,John Bowman,Pass
LAB-01713,CMP-0008,Cell Viability Assay,58.1,% viability,2023-12-29,Kyle James,Pass
LAB-01714,CMP-0122,Enzymatic Inhibition Assay,11.2,nM (IC50),2026-06-16,Jeffrey Kennedy,Pass
LAB-01715,CMP-0036,Selectivity Panel,45.9,% selectivity,2022-12-05,Tiffany Sutton,Fail
LAB-01716,CMP-0073,Solubility Assay,1.58,mg/mL,2023-10-16,Angela Jones,Pass
LAB-01717,CMP-0017,hERG Cardiotoxicity Screen,70.9,% inhibition at 10uM,2024-05-01,Michael Savage,Pass
LAB-01718,CMP-0064,Cell Viability Assay,82.2,% viability,2024-10-23,Debbie Rivas,Pass
LAB-01719,CMP-0119,Solubility Assay,2.69,mg/mL,2023-01-30,Gloria Mullins,Fail
LAB-01720,CMP-0033,Selectivity Panel,11.8,% selectivity,2023-05-16,Jason Alvarez,Pass
LAB-01721,CMP-0045,hERG Cardiotoxicity Screen,3.0,% inhibition at 10uM,2025-06-19,Michael Gomez,Pass
LAB-01722,CMP-0087,Pharmacokinetic (PK) Study,14.7,hours (t1/2),2025-06-25,Adam Logan,Pass
LAB-01723,CMP-0043,Metabolic Stability (Microsomal),46.9,min (t1/2),2025-02-05,Michael Jensen,Pass
LAB-01724,CMP-0016,hERG Cardiotoxicity Screen,33.9,% inhibition at 10uM,2024-01-03,Dr. Natalie Doyle,Pass
LAB-01725,CMP-0081,Cell Viability Assay,80.9,% viability,2023-12-24,Jimmy Hernandez,Pass
LAB-01726,CMP-0146,Solubility Assay,4.75,mg/mL,2026-03-02,Wayne Russell,Pass
LAB-01727,CMP-0124,Selectivity Panel,50.0,% selectivity,2024-10-17,Jerry Wall,Pass
LAB-01728,CMP-0056,Pharmacokinetic (PK) Study,17.64,hours (t1/2),2023-03-20,Wayne Davis,Fail
LAB-01729,CMP-0033,Enzymatic Inhibition Assay,6.23,nM (IC50),2023-08-03,Jennifer Payne,Pass
LAB-01730,CMP-0069,Binding Affinity (SPR),2.29,nM (Kd),2023-05-18,Gregory Farley,Pass
LAB-01731,CMP-0049,Cell Viability Assay,54.2,% viability,2026-08-06,Alexis Cervantes,Pass
LAB-01732,CMP-0075,hERG Cardiotoxicity Screen,6.9,% inhibition at 10uM,2022-10-11,Kathryn Parrish,Pass
LAB-01733,CMP-0026,Selectivity Panel,50.6,% selectivity,2025-07-05,Joy Jenkins,Pass
LAB-01734,CMP-0087,Enzymatic Inhibition Assay,3.8,nM (IC50),2024-02-14,Kelly Hubbard,Fail
LAB-01735,CMP-0029,Enzymatic Inhibition Assay,7.43,nM (IC50),2023-03-02,Jeffrey Thompson,Pass
LAB-01736,CMP-0039,Enzymatic Inhibition Assay,27.28,nM (IC50),2025-02-02,Jane Bruce,Pass
LAB-01737,CMP-0098,Binding Affinity (SPR),2.03,nM (Kd),2025-06-19,Douglas Oliver,Pass
LAB-01738,CMP-0104,Selectivity Panel,20.2,% selectivity,2026-05-30,Whitney Shaffer,Pass
LAB-01739,CMP-0068,Pharmacokinetic (PK) Study,22.9,hours (t1/2),2023-02-16,Lisa Jenkins,Pass
LAB-01740,CMP-0049,Binding Affinity (SPR),4.9,nM (Kd),2024-09-11,Tammy Garcia,Pass
LAB-01741,CMP-0121,Enzymatic Inhibition Assay,1.18,nM (IC50),2024-06-27,Amanda Roberts,Pass
LAB-01742,CMP-0060,Selectivity Panel,12.6,% selectivity,2024-05-24,Jesse James,Pass
LAB-01743,CMP-0127,Selectivity Panel,18.6,% selectivity,2023-06-30,Caleb Ponce,Pass
LAB-01744,CMP-0044,Enzymatic Inhibition Assay,1.12,nM (IC50),2026-05-14,Robert Padilla,Pass
